,Unnamed: 0,dien_tich,huong_ban_cong,phong_ngu,id_thanh_pho,ten_thanh_pho,id_quan,ten_quan,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,du_an,project_name,id_duong,ten_duong,do_rong_duong,do_rong_duong_ml,id_phuong,ten_phuong
8913,8913,53.0,,1.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,,Sổ hồng/ Sổ đỏ,21.0739281,105.8973716,874.5,16.5,5e5501fbeb80a7245176a783,Khu đô thị Thượng Thanh,5e958ee9208d0d6d7648fb4d,Đường Gia Quất,,,5e5501cbeb80a7245175e109,Phường Thượng Thanh
8914,8914,72.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,6.0,,,,,21.0566434,105.9132166,2100.0,29.166667,,,5e958ee9208d0d6d7648fcd5,Phố Việt Hưng,,,5e5501cbeb80a7245175e10b,Phường Giang Biên
8915,8915,65.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,Đông-Bắc,,21.0566434,105.9132166,1900.0,29.23076923076923,5e5501fbeb80a7245176a773,Eco City Việt Hưng,5e958ee9208d0d6d7648fcd5,Phố Việt Hưng,,,5e5501cbeb80a7245175e10d,Phường Việt Hưng
8916,8916,61.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,,,21.0566434,105.9132166,1800.0,29.508196721311474,5e5501fbeb80a7245176a773,Eco City Việt Hưng,5e958ee9208d0d6d7648fcd5,Phố Việt Hưng,,,5e5501cbeb80a7245175e10d,Phường Việt Hưng
8917,8917,107.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,Đông-Nam,,21.0264353,105.895382,2980.0,27.850467289719628,5e5501fbeb80a7245176a789,Northern Diamond,5e958ee9208d0d6d7648fbf8,Đường Long Biên,,,5e5501cbeb80a7245175e113,Phường Long Biên
8918,8918,61.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,Tây-Bắc,,21.055064,105.9110698,1600.0,26.557377049180328,5e5501fbeb80a7245176a798,Valencia Garden,5e958ee9208d0d6d7648fbf8,Đường Long Biên,,,5e5501cbeb80a7245175e113,Phường Long Biên
8919,8919,103.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,Đông-Nam,,21.0392163,105.9128977,2678.0,26.0,5e5501fbeb80a7245176a791,Khu đô thị Sài Đồng,5e958ee9208d0d6d7648fbf8,Đường Long Biên,,,5e5501cbeb80a7245175e113,Phường Long Biên
8920,8920,87.3,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,Tây-Nam,,21.0388447,105.8761949,3000.0,34.36426116838488,,,5e958ee9208d0d6d7648fbf8,Đường Long Biên,,,5e5501cbeb80a7245175e113,Phường Long Biên
8921,8921,103.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,Đông-Nam,,21.0392163,105.9128977,2678.0,26.0,5e5501fbeb80a7245176a791,Khu đô thị Sài Đồng,5e958ee9208d0d6d7648fbf8,Đường Long Biên,,,5e5501cbeb80a7245175e113,Phường Long Biên
8922,8922,48.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,,Sổ hồng/ Sổ đỏ,21.0383592,105.9339701,1000.0,20.833333,,,,,16.0,Ngõ 4 ô tô trở lên,5e5501cbeb80a7245175e110,Phường Phúc Lợi
8923,8923,48.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,12.0,,,,,21.0674567,105.9200531,1000.0,20.833333,,,,,,,5e5501cbeb80a7245175e10b,Phường Giang Biên
8924,8924,140.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,KXĐ,,21.0455988,105.8663119,6300.0,36.42857142857143,5e5501fbeb80a7245176a786,Mipec Riverside,5e958ee9208d0d6d7648fbf8,Đường Long Biên,,,5e5501cbeb80a7245175e113,Phường Long Biên
8925,8925,83.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,KXĐ,,21.0566434,105.9132166,2100.0,25.301204819277107,5e5501fbeb80a7245176a773,Eco City Việt Hưng,5e958ee9208d0d6d7648fcd5,Phố Việt Hưng,,,5e5501cbeb80a7245175e10d,Phường Việt Hưng
8926,8926,80.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,Tây-Bắc,,21.0566434,105.9132166,2400.0,30.0,5e5501fbeb80a7245176a773,Eco City Việt Hưng,5e958ee9208d0d6d7648fcd5,Phố Việt Hưng,,,5e5501cbeb80a7245175e10d,Phường Việt Hưng
8927,8927,63.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,4.0,,,,Hợp đồng mua bán,21.0674567,105.9200531,2107.0,33.444444,,,5e958ee9208d0d6d7648fcd5,Phố Việt Hưng,,,5e5501cbeb80a7245175e10b,Phường Giang Biên
8928,8928,108.0,,3.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,8.0,,,,Hợp đồng mua bán,21.048956,105.8862812,3400.0,31.481481,,,5e958ee9208d0d6d7648fb4e,Đường Gia Thụy,,,5e5501cbeb80a7245175e10d,Phường Việt Hưng
8929,8929,81.0,,3.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,4.0,,,,Sổ hồng,21.0388447,105.8761949,3100.0,38.271605,5e5501fbeb80a7245176a77c,HC Golden City,5e958ee9208d0d6d7648fb38,Đường Bồ Đề,,,5e5501cbeb80a7245175e111,Phường Bồ Đề
8930,8930,71.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,23.0,,,,Sổ hồng,21.0388447,105.8761949,2757.0,38.830986,5e5501fbeb80a7245176a77c,HC Golden City,5e958ee9208d0d6d7648fb38,Đường Bồ Đề,,,5e5501cbeb80a7245175e111,Phường Bồ Đề
8931,8931,81.0,,3.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,4.0,,,,,21.0388447,105.8761949,3100.0,38.271605,5e5501fbeb80a7245176a77c,HC Golden City,5e958ee9208d0d6d7648fb38,Đường Bồ Đề,,,5e5501cbeb80a7245175e111,Phường Bồ Đề
8932,8932,35.0,,1.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,22.0,,,,Sổ hồng,21.0739281,105.8973716,560.0,16.0,5e5501fbeb80a7245176a783,Khu đô thị Thượng Thanh,5e958ee9208d0d6d7648fb4d,Đường Gia Quất,,,5e5501cbeb80a7245175e109,Phường Thượng Thanh
8933,8933,240.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,,,,KXĐ,,21.0455988,105.8663119,9360.0,39.0,5e5501fbeb80a7245176a786,Mipec Riverside,5e958ee9208d0d6d7648fbf8,Đường Long Biên,,,5e5501cbeb80a7245175e113,Phường Long Biên
8934,8934,90.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,8.0,,,,Hợp đồng mua bán,21.0400942,105.9101303,2200.0,24.444444,5e5501fbeb80a7245176a791,Khu đô thị Sài Đồng,5e958ee9208d0d6d7648fbda,Đường Huỳnh Văn Nghệ,,,5e5501cbeb80a7245175e112,Phường Sài Đồng
8935,8935,87.0,,2.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,3.0,,,,,21.0388447,105.8761949,3500.0,40.229885,5e5501fbeb80a7245176a77c,HC Golden City,5e958ee9208d0d6d7648fb38,Đường Bồ Đề,,,5e5501cbeb80a7245175e111,Phường Bồ Đề
8936,8936,92.0,,4.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2a,Quận Long Biên,12.0,,,,Sổ hồng,21.0674567,105.9200531,2350.0,25.543478,,,5e958ee9208d0d6d7648fcd5,Phố Việt Hưng,,,5e5501cbeb80a7245175e10b,Phường Giang Biên
